Country,Code,Date,Note
Afghanistan,1,201231,Lockdown implemeted in certain areas like Kabul and Herat.
Albania,3,201231,"Usual lockdown rules: Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, a nation wide curfew has been in place, and pensioners were not allowed out of their homes for some time)"
Algeria,1,201231,"Lockdown implemented for Wilayat, Blida, and partially for Algiers."
Andorra,0,201231,Many businesses closed but no restriction in movement.
Angola,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Anguilla,0,201231,
Antigua and Barbuda,0,201231,
Argentina,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Armenia,0,201231,
Aruba,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Australia,1,201231,"Different policies for each territory, with most of them being under lockdown."
Austria,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Azerbaijan,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Permission to go out is granted via sms."
Bahamas,0,201231,
Bahrain,0,201231,"No movement restrictions enforced, but social distancing rules in place and many businesses closed."
Bangladesh,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Barbados,3,201231,24-hour curfew. Citizens can only go out 2 times per week (based on their surnames) for very basic needs.
Belarus,0,201231,
Belgium,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Belize,2,201231,General curfew 20:00 - 05:00. Under 16's not allowed on the streets after 16:00 even if they are accompanied by adults.
Benin,0,201231,
Bermuda,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Bhutan,0,201231,
Bolivia,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, people can only leave home in particular days according to rota, people under 18 and over 65 cannot leave at all."
"Bonaire, Sint Eustatius and Saba",0,201231,
Bosnia and Herzegovina,2,201231,General curfew 20:00 - 05:00. Under 18's and over 65 not allowed out at all.
Bosnia and Herzegovina,1,201231,Under 18's and over 65 only allowed out in certain days and times.
Botswana,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Brazil,1,201231,Restrictions on travelling between cities. Sao Luis first major city to declare lockdown on 05/05.
British Virgin Islands,0,201231,
Brunei,0,201231,"No movement restrictions enforced, but social distancing rules in place."
Bulgaria,1,201231,Restricted travel in parts of the country and certain areas in Lockdown. 
Burkina Faso,2,201231,General curfew 19:00 - 05:00 (later changed to 21:00 - 04:00).
Burma,1,201231,"Travel restricted from and to certain areas, and curfew imposed in Sagaing region."
Burundi,0,201231,
Cabo Verde,1,201231,Some islands still in lockdown.
Cabo Verde,3,201231,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Cambodia,0,201231,
Cameroon,0,201231,
Canada,1,201231,"Different policies for each territory, with most of them being under lockdown."
Cayman Islands,0,201231,
Central African Republic,0,201231,
