id,ProlificID,Time,Date,Zip,State_full,State,Age,Sex,Preexisting,PerceptionRisk,PFIaffectNeigh,PFINeigh1,PFINeigh6,PFIcountry1,PFIcountry6,WillingnessNeigh,NBTneigh,WillingnessCountry,NBTcountry,InfectedCovid,InfectedCovidLatest,Vaccine
1,5484620efdf99b0379939c6a,1,09/26/2020,16823,Pennsylvania,PA,60,1,1,2,5.5,5,5,5,5,1,4,1,4,0,1,1
2,54f8b0cdfdf99b5396a7d0a2,1,09/26/2020,22303,Virginia,VA,61,2,1,2,6.5,7,4,6,6,6,6,6,7,0,1,4
3,557d84c8fdf99b4d577438df,1,09/26/2020,38229,Tennessee,TN,36,1,1,2,2.5,1,4,7,4,4,4,4,4,0,1,2
4,558a327cfdf99b2d75651681,1,09/26/2020,94598,California,CA,54,1,1,3,6,6,5,6,4,3,7,3,6,0,1,5
5,558de4bffdf99b0cad9683ba,1,09/26/2020,31525,Georgia,GA,61,2,2,4,7,7,7,7,7,4,7,1,7,0,1,1
6,5594914efdf99b5eeb772732,1,09/26/2020,75211,Texas,TX,58,1,1,4,4.75,5,3,5,4,1,5,1,5,0,1,3
7,559b1e92fdf99b426abb6227,1,09/26/2020,2072,Massachusetts,MA,40,1,1,4,5.5,5,4,6,4,5,6,4,5,0,1,1
8,559e7713fdf99b7a9a12410b,1,09/26/2020,13142,New York,NY,64,1,2,5,5.75,6,4,6,5,1,6,1,6,0,0,2
9,559fa17cfdf99b69c369d364,1,09/26/2020,92692,California,CA,49,1,2,3,3.75,4,2,1,1,7,7,7,7,0,1,1
10,55a28851fdf99b602e6b05dd,1,09/26/2020,40380,Kentucky,KY,68,2,1,4,5,5,4,5,3,7,7,7,7,0,1,5
11,55abb1a5fdf99b501fab62e3,1,09/26/2020,21403,Maryland,MD,77,1,1,3,7,7,7,7,7,7,7,7,7,0,1,7
12,55b0eabffdf99b2228330785,1,09/26/2020,98533,Washington,WA,66,2,2,2,7,7,7,7,7,7,7,7,7,0,1,4
13,55b237e6fdf99b19ea79d2f7,1,09/26/2020,78745,Texas,TX,52,2,2,4,3.5,4,2,4,2,1,5,1,5,0,1,6
14,55b9a9b0fdf99b6906d2aba4,1,09/26/2020,47394,Indiana,IN,65,1,1,2,7,7,7,7,7,5,7,2,7,0,1,7
15,55cd909c34e906000a8d1e1e,1,09/26/2020,18974,Pennsylvania,PA,29,1,1,3,4.25,5,3,4,5,2,5,1,5,0,1,4
16,55d35a55da14d7000595331e,1,09/26/2020,93711,California,CA,56,1,1,3,6.5,7,6,6,4,2,5,1,6,0,1,7
17,55d7e6f669dbc30012b6826e,1,09/26/2020,44130,Ohio,OH,64,2,1,4,5,5,4,5,4,3,5,2,4,0,1,4
18,55f5946a32af74001017047b,1,09/26/2020,48122,Michigan,MI,59,1,2,5,4.75,4,1,4,2,2,7,1,5,0,1,7
19,5615777c7ffc8a000a811c61,1,09/26/2020,41011,Kentucky,KY,59,1,2,3,6.25,7,3,5,2,5,7,3,7,0,1,7
20,561d98e03d7fe8000b0f5e09,1,09/26/2020,23024,Virginia,VA,62,2,2,2,3.75,5,2,6,5,4,5,4,5,0,1,5
21,562e4469733ea00005163785,1,09/26/2020,96740,Hawaii,HI,46,1,1,5,6.5,7,,5,3,5,6,2,4,0,1,5
22,5630246f733ea0000f1633dd,1,09/26/2020,48049,Michigan,MI,34,2,1,4,3.25,4,3,5,6,2,6,1,5,0,1,6
23,5658000ca9872d0011e1ba26,1,09/26/2020,45812,Ohio,OH,31,1,1,5,4.5,4,4,6,6,3,6,3,7,0,1,6
24,565bbc1ec121fe0012fc3782,1,09/26/2020,75143,Texas,TX,,,1,1,5.75,6,5,7,6,3,7,3,7,0,1,1
25,567dd32b4f0ef30006dbb718,1,09/26/2020,28403,North Carolina,NC,53,2,2,3,5.25,5,4,5,5,4,5,3,5,2,1,3
26,5680eeb5c5767f00121ccc0f,1,09/26/2020,27705,North Carolina,NC,63,2,1,3,5,6,3,6,3,5,6,1,7,2,2,4
27,568e7f66e3ef9e000ba1a089,1,09/26/2020,75442,Texas,TX,61,2,1,4,5.25,5,5,4,4,6,7,5,7,0,1,5
28,5690a966a3b94e000d6c3c13,1,09/26/2020,43055,Ohio,OH,62,2,1,2,5.5,5,3,6,4,1,4,1,5,0,2,1
29,5694f1d9e0c800000b5a38d2,1,09/26/2020,28210,North Carolina,NC,54,1,2,4,1.75,1,1,4,1,1,5,1,5,0,0,4
30,569916e4b0e16500050131b4,1,09/26/2020,28792,North Carolina,NC,61,1,1,3,3,4,2,6,4,2,6,2,6,0,1,1
31,5699cf0625d9e9000db0c789,1,09/26/2020,77802,Texas,TX,57,2,1,5,6,6,5,5,5,3,7,3,6,0,0,5
32,569ad7c8af9ad7000b64253d,1,09/26/2020,24450,Virginia,VA,62,2,1,1,6.25,6,4,7,4,5,7,5,7,0,2,1
33,56c3ee7411e094000dd4654d,1,09/26/2020,97346,Oregon,OR,56,2,2,4,6,6,5,6,5,4,6,4,6,0,1,5
34,56d1af6521cd29000b973ff2,1,09/26/2020,88201,New Mexico,NM,64,2,2,2,6,6,6,6,6,6,6,6,6,0,1,6
35,56d7446604c67d000c7b2d92,1,09/26/2020,87110,New Mexico,NM,78,2,2,3,6,6,3,6,2,3,7,3,7,0,1,7
36,56e225c2ec0fdd000641e72d,1,09/26/2020,13021,New York,NY,48,2,2,5,6.75,7,5,7,5,4,5,3,4,0,1,4
37,56e94d6e098153000a40d59a,1,09/26/2020,34237,Florida,FL,65,2,1,2,6.5,6,4,7,6,4,7,4,5,0,2,2
38,56f2a06ced0cf6000b9109fd,1,09/26/2020,32771,Florida,FL,66,2,1,2,5.25,6,2,6,4,1,3,1,3,0,1,2
39,56fdff4ee0f9ff000f19c466,1,09/26/2020,10547,New York,NY,74,2,1,2,6.25,6,5,4,3,1,7,1,7,0,1,2
40,570bc1ffb9b52b00102db939,1,09/26/2020,62521,Illinois,IL,39,2,2,3,6.75,7,5,5,4,1,6,1,5,0,1,4
41,571164253d47e80009635a80,1,09/26/2020,32504,Florida,FL,74,2,2,5,6.75,7,5,7,6,3,7,3,7,0,1,7
42,5720f5e3951c9b0008d460c1,1,09/26/2020,85122,Arizona,AZ,50,2,1,4,4.75,5,4,6,4,1,6,1,6,0,1,1
43,57223b1c01ed330011374d93,1,09/26/2020,85254,Arizona,AZ,61,1,2,2,6.25,5,3,5,5,2,7,2,6,2,1,1
44,57309f6b30a556000fecdd47,1,09/26/2020,80301,Colorado,CO,40,1,1,5,3.75,4,3,3,4,3,5,3,6,0,1,5
45,574cca765e5491000f3c89e0,1,09/26/2020,92821,California,CA,59,1,2,3,5.25,5,3,7,5,2,3,2,5,0,1,5
46,574ce0a57fd0ec000db73aa6,1,09/26/2020,73568,Oklahoma,OK,69,2,1,4,1,1,1,5,4,1,1,3,4,0,1,7
47,574eab79c18847000e071119,1,09/26/2020,77077,Texas,TX,39,2,2,5,6.5,7,6,7,7,5,7,5,6,0,1,2
48,5761c23632676f0007eb36b3,1,09/26/2020,76107,Texas,TX,30,1,1,2,4.25,4,2,5,3,3,5,3,5,2,2,5
49,5767349075905c00018d6a98,1,09/26/2020,28557,North Carolina,NC,44,1,1,7,5.25,5,3,3,2,5,7,4,6,0,0,4
50,579f1d3bc9abeb0001af52d8,1,09/26/2020,20770,Maryland,MD,38,1,2,5,5,5,4,4,4,1,7,1,7,0,1,7
51,57a08ec3dcff7d0001c7ce99,1,09/26/2020,64112,Missouri,MO,38,2,1,3,5,5,3,4,2,2,5,2,4,0,1,6
52,57af9cdda169b50001a434e3,1,09/26/2020,60560,Illinois,IL,39,2,1,6,3.25,2,1,5,3,1,5,1,4,2,2,1
53,57bf14513c449a000189c89a,1,09/26/2020,60502,Illinois,IL,67,1,2,2,5.75,6,4,5,3,4,5,2,3,0,1,6
54,57dd766bbcd7150001ded5de,1,09/26/2020,19444,Pennsylvania,PA,51,1,1,2,4.5,4,3,5,3,4,7,4,7,0,1,7
55,57e7bb4e73e67300012b8e2a,1,09/26/2020,72117,Arkansas,AR,52,2,2,3,6.25,7,5,7,4,7,7,7,7,0,1,7
56,5800e50de3536e00012840f4,1,09/26/2020,13367,New York,NY,63,2,1,3,3.75,3,3,3,4,4,5,4,6,0,1,2
57,580bea98827ca10001db514e,1,09/26/2020,2472,Massachusetts,MA,51,1,1,5,3.75,4,3,5,3,3,5,1,5,0,1,5
58,580cab86b869700001d71628,1,09/26/2020,19104,Pennsylvania,PA,57,2,2,,3.25,4,1,5,4,1,1,1,4,0,1,7
59,582afed4ce3a0e00010b3245,1,09/26/2020,15206,Pennsylvania,PA,67,2,2,3,6.25,5,3,6,4,2,4,2,4,0,1,4
60,58642f4de16d530001b34622,1,09/26/2020,83204,Idaho,ID,60,1,2,3,4.25,6,3,5,5,1,5,2,5,0,1,6
61,58644414ac950900013dda4b,1,09/26/2020,90210,California,CA,48,2,1,4,3.75,4,2,7,2,2,3,1,2,0,1,6
62,5869dec37fbbcd00013974e2,1,09/26/2020,27704,North Carolina,NC,25,2,1,,4,4,2,6,4,4,7,5,5,0,1,4
63,587c0271bcf74400012d5120,1,09/26/2020,36862,Alabama,AL,31,2,1,3,2.25,2,2,5,5,3,4,2,4,0,1,5
64,5898b6e256357700011c2c6b,1,09/26/2020,46237,Indiana,IN,63,1,1,1,6,6,2,6,3,3,4,2,4,0,1,3
65,58a202ac66e4640001c52bfd,1,09/26/2020,94086,California,CA,50,1,1,4,4.5,4,3,6,5,2,5,2,4,0,1,5
66,58a2952076c5b7000166150a,1,09/26/2020,25813,West Virginia,WV,63,2,1,3,6.5,7,6,7,5,7,7,7,6,0,1,2
67,58a50aebbb9e0f0001aca2a7,1,09/26/2020,40517,Kentucky,KY,42,1,1,5,4.75,5,5,4,5,4,6,4,5,0,1,2
68,58c376f9efb64f0001358464,1,09/26/2020,93705,California,CA,45,2,2,4,5.25,7,7,7,7,1,7,1,3,0,1,1
69,58d9a79c33fef3000118abdf,1,09/26/2020,606,Puerto Rico,PR,31,1,2,2,2.5,1,1,1,1,1,4,1,4,0,1,1
70,58e558cc728bea0001bbda24,1,09/26/2020,28792,North Carolina,NC,63,2,1,4,4.25,4,3,4,4,1,4,1,4,0,1,1
71,5909955b9e26f200016e1247,1,09/26/2020,95319,California,CA,59,2,1,6,5.75,6,4,6,4,1,5,1,6,0,2,4
72,591f1850a940aa0001f1c20c,1,09/26/2020,36088,Alabama,AL,21,2,1,3,4.75,5,3,4,3,2,5,2,4,0,1,4
73,59349d79f1b3f00001964d04,1,09/26/2020,37312,Tennessee,TN,61,2,2,3,5.25,4,1,5,2,4,5,2,5,0,1,3
74,5938b3563e8fb80001922beb,1,09/26/2020,20751,Maryland,MD,29,1,1,5,3,4,2,7,3,6,7,2,5,0,1,7
