measure,location,sex,cause,rei,val
Deaths,Andean Latin America,Both,Interpersonal violence,Tobacco,1
Deaths,Oceania,Both,Interpersonal violence,Tobacco,1
Deaths,Central Asia,Female,Other infectious diseases,Drug use,1
Deaths,North Africa and Middle East,Female,Interpersonal violence,Tobacco,1
Deaths,Southern Latin America,Male,Interpersonal violence,Tobacco,1
Deaths,Central Sub-Saharan Africa,Male,Interpersonal violence,Tobacco,1
Deaths,Central Europe,Female,Other infectious diseases,Drug use,1
Deaths,Greece,Male,Substance use disorders,Childhood maltreatment,1
Deaths,Australasia,Female,Other infectious diseases,Child and maternal malnutrition,1
Deaths,Central Sub-Saharan Africa,Both,Interpersonal violence,Tobacco,1
Deaths,Central Europe,Female,Maternal disorders,Intimate partner violence,1
Deaths,Central Europe,Both,Maternal disorders,Intimate partner violence,1
Deaths,Greece,Male,Enteric infections,"Unsafe water, sanitation, and handwashing",1
Deaths,Southern Latin America,Female,Interpersonal violence,Tobacco,1
Deaths,Australasia,Male,Other infectious diseases,Child and maternal malnutrition,1
Deaths,Greece,Female,Nutritional deficiencies,Child and maternal malnutrition,1
Deaths,Greece,Both,Substance use disorders,Childhood maltreatment,1
Deaths,Andean Latin America,Female,Other infectious diseases,Drug use,1
Deaths,Australasia,Male,Sexually transmitted infections excluding HIV,Unsafe sex,1
Deaths,Eastern Sub-Saharan Africa,Female,Interpersonal violence,Tobacco,1
Deaths,Greece,Female,Maternal disorders,Child and maternal malnutrition,1
Deaths,Greece,Both,Maternal disorders,Child and maternal malnutrition,1
Deaths,United Kingdom,Male,Other infectious diseases,Drug use,1
Deaths,Greece,Female,HIV/AIDS,Drug use,1
Deaths,Greece,Male,Interpersonal violence,Low bone mineral density,1
Deaths,Australasia,Female,Other infectious diseases,Drug use,1
Deaths,Western Sub-Saharan Africa,Female,Musculoskeletal disorders,Tobacco,1
Deaths,World Bank Low Income,Female,Interpersonal violence,Tobacco,1
Deaths,Western Europe,Female,Maternal disorders,Intimate partner violence,1
Deaths,Western Europe,Both,Maternal disorders,Intimate partner violence,1
Deaths,Oceania,Male,Other infectious diseases,Drug use,1
Deaths,High-income Asia Pacific,Female,Interpersonal violence,Tobacco,1
Deaths,Caribbean,Male,Interpersonal violence,Tobacco,1
Deaths,Greece,Female,Musculoskeletal disorders,Tobacco,1
Deaths,United Kingdom,Male,Sexually transmitted infections excluding HIV,Unsafe sex,1
Deaths,Oceania,Both,Musculoskeletal disorders,Tobacco,1
Deaths,Greece,Female,Enteric infections,"Unsafe water, sanitation, and handwashing",1
Deaths,High-income North America,Female,Maternal disorders,Intimate partner violence,1
Deaths,High-income North America,Both,Maternal disorders,Intimate partner violence,1
Deaths,Central Asia,Female,Musculoskeletal disorders,Tobacco,1
Deaths,High-income Asia Pacific,Female,Other infectious diseases,Child and maternal malnutrition,2
Deaths,Oceania,Both,Other infectious diseases,Drug use,2
Deaths,High-income Asia Pacific,Male,HIV/AIDS,Drug use,2
Deaths,Oceania,Female,Interpersonal violence,Low bone mineral density,2
Deaths,Australasia,Female,HIV/AIDS,Intimate partner violence,2
Deaths,Australasia,Both,HIV/AIDS,Intimate partner violence,2
Deaths,Australasia,Female,Other non-communicable diseases,Child and maternal malnutrition,2
Deaths,Andean Latin America,Male,Other infectious diseases,Drug use,2
Deaths,United Kingdom,Both,Other infectious diseases,Drug use,2
Deaths,Southern Sub-Saharan Africa,Female,Other infectious diseases,Drug use,2
Deaths,Western Sub-Saharan Africa,Male,Interpersonal violence,Tobacco,2
Deaths,Southern Latin America,Female,Other infectious diseases,Drug use,2
Deaths,Greece,Both,Nutritional deficiencies,Child and maternal malnutrition,2
Deaths,Greece,Male,Musculoskeletal disorders,Tobacco,2
Deaths,Southern Latin America,Both,Interpersonal violence,Tobacco,2
Deaths,Greece,Female,Sexually transmitted infections excluding HIV,Unsafe sex,2
Deaths,Australasia,Female,Maternal disorders,Child and maternal malnutrition,2
Deaths,Australasia,Both,Maternal disorders,Child and maternal malnutrition,2
Deaths,Greece,Both,Sexually transmitted infections excluding HIV,Unsafe sex,2
Deaths,Australasia,Both,Other infectious diseases,Child and maternal malnutrition,2
Deaths,High-income Asia Pacific,Both,HIV/AIDS,Drug use,2
Deaths,Australasia,Male,HIV/AIDS,Drug use,2
Deaths,Western Sub-Saharan Africa,Both,Interpersonal violence,Tobacco,2
Deaths,Central Europe,Male,Other infectious diseases,Drug use,2
Deaths,Central Sub-Saharan Africa,Female,Musculoskeletal disorders,Tobacco,2
Deaths,Southern Sub-Saharan Africa,Female,Interpersonal violence,Tobacco,2
Deaths,Australasia,Male,Interpersonal violence,Low bone mineral density,2
Deaths,Greece,Female,Interpersonal violence,Low bone mineral density,2
Deaths,Caribbean,Female,Other infectious diseases,Drug use,2
Deaths,Oceania,Female,Other non-communicable diseases,Child and maternal malnutrition,2
Deaths,United Kingdom,Male,Interpersonal violence,Low bone mineral density,2
Deaths,Oceania,Male,Interpersonal violence,Low bone mineral density,2
Deaths,High-income Asia Pacific,Male,Other infectious diseases,Child and maternal malnutrition,2
Deaths,Caribbean,Both,Interpersonal violence,Tobacco,2
Deaths,Oceania,Female,Unintentional injuries,Tobacco,2
Deaths,Central Europe,Female,Interpersonal violence,Tobacco,2
Deaths,Southeast Asia,Female,Interpersonal violence,Tobacco,2
Deaths,Southeast Asia,Female,Other infectious diseases,Drug use,2
Deaths,Australasia,Male,Other non-communicable diseases,Child and maternal malnutrition,2
Deaths,High-income Asia Pacific,Female,Other non-communicable diseases,Child and maternal malnutrition,2
Deaths,United Kingdom,Female,Other infectious diseases,Child and maternal malnutrition,2
Deaths,Andean Latin America,Female,Musculoskeletal disorders,Tobacco,2
Deaths,Greece,Both,Enteric infections,"Unsafe water, sanitation, and handwashing",3
Deaths,Australasia,Both,HIV/AIDS,Drug use,3
Deaths,Central Sub-Saharan Africa,Female,Transport injuries,Tobacco,3
Deaths,Central Asia,Female,Unintentional injuries,Tobacco,3
Deaths,Western Europe,Male,Interpersonal violence,Tobacco,3
DALYs,Australasia,Female,Maternal disorders,Intimate partner violence,3
DALYs,Australasia,Both,Maternal disorders,Intimate partner violence,3
Deaths,Greece,Female,Unintentional injuries,Occupational risks,3
Deaths,Australasia,Female,Transport injuries,Tobacco,3
Deaths,Central Asia,Female,Transport injuries,Tobacco,3
Deaths,Central Europe,Male,Sexually transmitted infections excluding HIV,Unsafe sex,3
Deaths,Australasia,Female,Enteric infections,Child and maternal malnutrition,3
