index,Country,Confirmed,Confirmed_pc,Deaths,Deaths_pc,Death_rate,Recovered,Recovered_pc,Recovered_rate,Active,Active_pc,Tested,Tested_pc,Tested_rate,Population
0,Afghanistan,39268,1032.234131562325,1458,38.32630548583758,3.7129469287969847,32789,861.9212829733391,83.500560252623,5021.0,131.98654310314848,0,0,0,38041757
1,Albania,13649,4737.734183573055,387,134.33241475879348,2.8353725547659168,7847,2723.7892987396704,57.49139131071873,5415.0,1879.6124700745909,0,0,0,2880913
2,Algeria,51530,1196.895346843455,1736,40.32234275412843,3.368911313797788,36174,840.2191398547475,70.19988356297301,13620.0,316.353864234579,0,0,0,43053054
3,Andorra,2050,26572.991470717858,53,687.0090477795349,2.5853658536585367,1432,18562.206724911204,69.85365853658536,565.0,7323.775698027117,0,0,0,77146
4,Angola,4972,156.22791163721666,183,5.750142363155803,3.680611423974256,1941,60.989214901013185,39.03861625100563,2848.0,89.48855437304768,0,0,0,31825299
5,Antigua and Barbuda,101,1040.0041188281932,3,30.891211450342375,2.9702970297029703,92,947.3304844771661,91.0891089108911,6.0,61.78242290068475,0,0,0,97115
6,Argentina,751001,16770.649392846357,16937,378.2211858128534,2.255256650790079,594645,13279.053966917649,79.18032066535197,139419.0,3113.3742401158534,1999387.0,44648.43372727186,37.56156261894271,44780675
7,Armenia,50359,17026.24446872735,959,324.23535903233835,1.9043269326237615,44001,14876.621514892513,87.37465001290732,5399.0,1825.387594802497,0,0,0,2957728
8,Austria,44813,5004.183087462486,799,89.22282120997313,1.7829647646888178,35644,3980.298171725009,79.53941936491643,8370.0,934.6620945275033,1636573.0,182753.01649070007,2.7382218819447712,8955108
9,Azerbaijan,40229,4003.794294008421,591,58.81932008647932,1.469089462825325,37954,3777.3747454521763,94.34487558726292,1684.0,167.6002284697651,0,0,0,10047719
10,Bahamas,4123,10585.746342615652,96,246.47869243053665,2.3284016492845017,2206,5663.874953143373,53.504729565850106,1821.0,4675.392697041742,0,0,0,389486
11,Bahrain,70864,43179.10946133354,251,152.940230226839,0.3541995935877173,64838,39507.3252886366,91.49638744637616,5775.0,3518.8439424701005,1439332.0,877018.9938360822,4.923395019356201,1641164
12,Bangladesh,363479,2229.3010213738658,5251,32.20560104774737,1.4446501723620897,275487,1689.6256743174217,75.79172386850409,82741.0,507.4697460086965,1783779.0,10940.33038113688,20.37690767746453,163046173
13,Barbados,190,661.9724689134243,7,24.388459381020898,3.684210526315789,179,623.647747028963,94.21052631578948,4.0,13.936262503440513,0,0,0,287021
14,Belarus,78631,8318.620152809723,833,88.12568309306126,1.0593786165761594,74525,7884.233532425438,94.77814093678066,3273.0,346.26093729122385,1841704.0,194839.64352367743,4.269470012553592,9452409
