location,cases_2020,cases_2021,deaths_2020,deaths_2021
World,83734405,204496565,1880789,3557492
Afghanistan,52330,105754,2189,5167
Africa,2760454,6950727,65468,162439
Albania,58316,151908,1181,2036
Algeria,99610,118822,2756,3520
Andorra,8049,15691,84,56
Angola,17553,64040,405,1365
Anguilla,13,1661,,5
Antigua and Barbuda,159,4124,5,114
Argentina,1625514,4028894,43245,73924
Armenia,159409,185521,2823,5149
Aruba,5489,14972,49,132
Asia,20715904,63906512,337852,921812
Australia,28425,374524,909,1339
Austria,360815,917804,6222,7511
Azerbaijan,218700,398247,2641,5717
Bahamas,7871,16605,170,547
Bahrain,92675,189387,352,1042
Bangladesh,513510,1072029,7559,20513
Barbados,383,28182,7,253
Belarus,194284,504826,1424,4154
Belgium,646496,1458847,19528,8803
Belize,10776,22064,248,354
Benin,3251,21684,44,117
Bermuda,604,5816,10,100
Bhutan,670,1990,,3
Bolivia,160124,439629,9165,10515
Bonaire Sint Eustatius and Saba,196,3210,3,20
Bosnia and Herzegovina,110985,180328,4050,9392
Botswana,14805,204704,42,2402
Brazil,7681032,14610807,195072,424262
British Virgin Islands,86,3406,1,38
Brunei,157,15313,3,95
Bulgaria,202266,544842,7576,23379
Burkina Faso,6707,10925,85,233
Burundi,818,26548,2,36
Cambodia,378,120115,,3012
Cameroon,26277,83090,448,1403
Canada,587429,1612615,15762,14615
Cape Verde,11840,29892,113,239
Cayman Islands,338,8480,2,9
Central African Republic,4963,7200,63,38
Chad,2113,3590,104,77
Chile,608973,1197521,16608,22507
China,87071,15243,4634,2
Colombia,1642775,3514665,43213,86729
Comoros,823,5692,10,147
Congo,7107,12982,108,259
Cook Islands,,2,,0
Costa Rica,169321,401235,2185,5168
Cote d'Ivoire,22490,48514,137,577
Croatia,210837,504408,3920,8618
Cuba,11863,954141,146,8176
Curacao,4260,17065,14,175
Cyprus,22346,144481,120,518
Czechia,718661,1757068,11580,24549
Democratic Republic of Congo,17658,57135,591,614
Denmark,163479,638918,1298,1969
Djibouti,5831,7825,61,128
Dominica,88,6726,,47
Dominican Republic,170785,247993,2414,1833
Ecuador,212512,336906,14034,19647
Egypt,138062,247513,7631,14121
El Salvador,46242,75703,1327,2497
Equatorial Guinea,5277,8433,86,89
Eritrea,1320,6691,3,73
Estonia,27990,213418,229,1703
Eswatini,9358,56751,205,1098
Ethiopia,124264,296078,1923,5014
Europe,23859991,64758413,545520,984990
European Union,15600614,40626934,370470,533870
Faeroe Islands,610,5154,,14
Falkland Islands,29,54,,0
Fiji,49,53283,2,696
Finland,36107,224185,561,1003
France,2660676,7357345,64644,59161
French Polynesia,16926,29456,114,522
Gabon,9571,32227,64,224
Gambia,3797,6373,124,219
Georgia,227420,707321,2505,11295
