FIPS,Admin2,Province_State,Country_Region,Combined_Key,Population
,,,Afghanistan,Afghanistan,38936381
,,,Albania,Albania,2877800
,,,Algeria,Algeria,43851043
,,,Andorra,Andorra,77265
,,,Angola,Angola,32866268
,,,Antigua and Barbuda,Antigua and Barbuda,97928
,,,Argentina,Argentina,45195777
,,,Armenia,Armenia,2963234
,,Australian Capital Territory,Australia,"Australian Capital Territory, Australia",428100
,,New South Wales,Australia,"New South Wales, Australia",8118000
,,Northern Territory,Australia,"Northern Territory, Australia",245600
,,Queensland,Australia,"Queensland, Australia",5115500
,,South Australia,Australia,"South Australia, Australia",1756500
,,Tasmania,Australia,"Tasmania, Australia",535500
,,Victoria,Australia,"Victoria, Australia",6629900
,,Western Australia,Australia,"Western Australia, Australia",2630600
,,,Austria,Austria,9006400
,,,Azerbaijan,Azerbaijan,10139175
,,,Bahamas,Bahamas,393248
,,,Bahrain,Bahrain,1701583
,,,Bangladesh,Bangladesh,164689383
,,,Barbados,Barbados,287371
,,,Belarus,Belarus,9449321
,,,Belgium,Belgium,11589616
,,,Belize,Belize,397621
,,,Benin,Benin,12123198
,,,Bhutan,Bhutan,771612
,,,Bolivia,Bolivia,11673029
,,,Bosnia and Herzegovina,Bosnia and Herzegovina,3280815
,,,Botswana,Botswana,2351625
,,Acre,Brazil,"Acre, Brazil",881935
,,Alagoas,Brazil,"Alagoas, Brazil",3337357
,,Amapa,Brazil,"Amapa, Brazil",845731
,,Amazonas,Brazil,"Amazonas, Brazil",4144597
,,Bahia,Brazil,"Bahia, Brazil",14873064
,,Ceara,Brazil,"Ceara, Brazil",9132078
,,Distrito Federal,Brazil,"Distrito Federal, Brazil",3015268
,,Espirito Santo,Brazil,"Espirito Santo, Brazil",4018650
,,Goias,Brazil,"Goias, Brazil",7018354
,,Maranhao,Brazil,"Maranhao, Brazil",7075181
,,Mato Grosso,Brazil,"Mato Grosso, Brazil",3484466
,,Mato Grosso do Sul,Brazil,"Mato Grosso do Sul, Brazil",2778986
,,Minas Gerais,Brazil,"Minas Gerais, Brazil",21168791
,,Para,Brazil,"Para, Brazil",8602865
,,Paraiba,Brazil,"Paraiba, Brazil",4018127
,,Parana,Brazil,"Parana, Brazil",11433957
,,Pernambuco,Brazil,"Pernambuco, Brazil",9557071
,,Piaui,Brazil,"Piaui, Brazil",3273227
,,Rio de Janeiro,Brazil,"Rio de Janeiro, Brazil",17264943
,,Rio Grande do Norte,Brazil,"Rio Grande do Norte, Brazil",3506853
,,Rio Grande do Sul,Brazil,"Rio Grande do Sul, Brazil",11377239
,,Rondonia,Brazil,"Rondonia, Brazil",1777225
,,Roraima,Brazil,"Roraima, Brazil",605761
,,Santa Catarina,Brazil,"Santa Catarina, Brazil",7164788
,,Sao Paulo,Brazil,"Sao Paulo, Brazil",45919049
,,Sergipe,Brazil,"Sergipe, Brazil",2298696
,,Tocantins,Brazil,"Tocantins, Brazil",1572866
,,Unknown,Brazil,"Unknown, Brazil",0
,,,Brunei,Brunei,437483
,,,Bulgaria,Bulgaria,6948445
,,,Burkina Faso,Burkina Faso,20903278
,,,Burma,Burma,54409794
,,,Burundi,Burundi,11890781
,,,Cabo Verde,Cabo Verde,555988
,,,Cambodia,Cambodia,16718971
,,,Cameroon,Cameroon,26545864
,,Alberta,Canada,"Alberta, Canada",4413146
,,British Columbia,Canada,"British Columbia, Canada",5110917
,,Diamond Princess,Canada,"Diamond Princess, Canada",0
,,Grand Princess,Canada,"Grand Princess, Canada",0
,,Manitoba,Canada,"Manitoba, Canada",1377517
,,New Brunswick,Canada,"New Brunswick, Canada",779993
,,Newfoundland and Labrador,Canada,"Newfoundland and Labrador, Canada",521365
,,Northwest Territories,Canada,"Northwest Territories, Canada",44904
,,Nova Scotia,Canada,"Nova Scotia, Canada",977457
,,Nunavut,Canada,"Nunavut, Canada",0
,,Ontario,Canada,"Ontario, Canada",14711827
,,Prince Edward Island,Canada,"Prince Edward Island, Canada",158158
,,Quebec,Canada,"Quebec, Canada",8537674
,,Saskatchewan,Canada,"Saskatchewan, Canada",1181666
,,Yukon,Canada,"Yukon, Canada",41078
,,,Central African Republic,Central African Republic,4829764
,,,Chad,Chad,16425859
,,Antofagasta,Chile,"Antofagasta, Chile",607534
,,Araucania,Chile,"Araucania, Chile",957224
,,Arica y Parinacota,Chile,"Arica y Parinacota, Chile",226068
,,Atacama,Chile,"Atacama, Chile",286168
,,Aysen,Chile,"Aysen, Chile",103158
,,Biobio,Chile,"Biobio, Chile",1556805
,,Coquimbo,Chile,"Coquimbo, Chile",757586
,,Los Lagos,Chile,"Los Lagos, Chile",828708
,,Los Rios,Chile,"Los Rios, Chile",384837
,,Magallanes,Chile,"Magallanes, Chile",166533
,,Maule,Chile,"Maule, Chile",1044950
,,Metropolitana,Chile,"Metropolitana, Chile",7112808
,,Nuble,Chile,"Nuble, Chile",480609
,,OHiggins,Chile,"OHiggins, Chile",914555
,,Tarapaca,Chile,"Tarapaca, Chile",330558
,,Unknown,Chile,"Unknown, Chile",0
,,Valparaiso,Chile,"Valparaiso, Chile",1815902
,,Anhui,China,"Anhui, China",63240000
,,Beijing,China,"Beijing, China",21540000
,,Chongqing,China,"Chongqing, China",31020000
,,Fujian,China,"Fujian, China",39410000
,,Gansu,China,"Gansu, China",26370000
,,Guangdong,China,"Guangdong, China",113460000
,,Guangxi,China,"Guangxi, China",49260000
,,Guizhou,China,"Guizhou, China",36000000
,,Hainan,China,"Hainan, China",9340000
,,Hebei,China,"Hebei, China",75560000
,,Heilongjiang,China,"Heilongjiang, China",37730000
,,Henan,China,"Henan, China",96050000
,,Hong Kong,China,"Hong Kong, China",7496988
,,Hubei,China,"Hubei, China",59170000
,,Hunan,China,"Hunan, China",68990000
,,Inner Mongolia,China,"Inner Mongolia, China",25340000
,,Jiangsu,China,"Jiangsu, China",80510000
,,Jiangxi,China,"Jiangxi, China",46480000
,,Jilin,China,"Jilin, China",27040000
,,Liaoning,China,"Liaoning, China",43590000
,,Macau,China,"Macau, China",649342
,,Ningxia,China,"Ningxia, China",6880000
,,Qinghai,China,"Qinghai, China",6030000
,,Shaanxi,China,"Shaanxi, China",38640000
,,Shandong,China,"Shandong, China",100470000
,,Shanghai,China,"Shanghai, China",24240000
,,Shanxi,China,"Shanxi, China",37180000
,,Sichuan,China,"Sichuan, China",83410000
,,Tianjin,China,"Tianjin, China",15600000
,,Tibet,China,"Tibet, China",3440000
,,Xinjiang,China,"Xinjiang, China",24870000
,,Yunnan,China,"Yunnan, China",48300000
,,Zhejiang,China,"Zhejiang, China",57370000
,,Amazonas,Colombia,"Amazonas, Colombia",76589
,,Antioquia,Colombia,"Antioquia, Colombia",6407102
,,Arauca,Colombia,"Arauca, Colombia",262174
,,Atlantico,Colombia,"Atlantico, Colombia",2535517
,,Bolivar,Colombia,"Bolivar, Colombia",2070110
,,Boyaca,Colombia,"Boyaca, Colombia",1217376
,,Caldas,Colombia,"Caldas, Colombia",998255
,,Capital District,Colombia,"Capital District, Colombia",7412566
,,Caqueta,Colombia,"Caqueta, Colombia",401489
,,Casanare,Colombia,"Casanare, Colombia",420504
,,Cauca,Colombia,"Cauca, Colombia",1464488
,,Cesar,Colombia,"Cesar, Colombia",1200574
,,Choco,Colombia,"Choco, Colombia",534826
,,Cordoba,Colombia,"Cordoba, Colombia",1784783
,,Cundinamarca,Colombia,"Cundinamarca, Colombia",2919060
,,Guainia,Colombia,"Guainia, Colombia",48114
,,Huila,Colombia,"Huila, Colombia",1100386
,,La Guajira,Colombia,"La Guajira, Colombia",880560
,,Magdalena,Colombia,"Magdalena, Colombia",1341746
,,Meta,Colombia,"Meta, Colombia",1039722
,,Narino,Colombia,"Narino, Colombia",1630592
,,Norte de Santander,Colombia,"Norte de Santander, Colombia",1491689
,,Putumayo,Colombia,"Putumayo, Colombia",348182
,,Quindio,Colombia,"Quindio, Colombia",539904
,,Risaralda,Colombia,"Risaralda, Colombia",943401
,,San Andres y Providencia,Colombia,"San Andres y Providencia, Colombia",61280
,,Santander,Colombia,"Santander, Colombia",2184837
,,Sucre,Colombia,"Sucre, Colombia",904863
,,Tolima,Colombia,"Tolima, Colombia",1330187
,,Valle del Cauca,Colombia,"Valle del Cauca, Colombia",4475886
,,Vaupes,Colombia,"Vaupes, Colombia",40797
,,Vichada,Colombia,"Vichada, Colombia",107808
,,,Comoros,Comoros,869595
,,,Congo (Brazzaville),Congo (Brazzaville),5518092
,,,Congo (Kinshasa),Congo (Kinshasa),89561404
,,,Costa Rica,Costa Rica,5094114
,,,Cote d'Ivoire,Cote d'Ivoire,26378275
,,,Croatia,Croatia,4105268
,,,Cuba,Cuba,11326616
,,,Cyprus,Cyprus,1207361
,,,Czechia,Czechia,10708982
,,Faroe Islands,Denmark,"Faroe Islands, Denmark",48865
,,Greenland,Denmark,"Greenland, Denmark",56772
,,,Denmark,Denmark,5792203
,,,Diamond Princess,Diamond Princess,0
,,,Djibouti,Djibouti,988002
,,,Dominica,Dominica,71991
,,,Dominican Republic,Dominican Republic,10847904
,,,Ecuador,Ecuador,17643060
,,,Egypt,Egypt,102334403
,,,El Salvador,El Salvador,6486201
,,,Equatorial Guinea,Equatorial Guinea,1402985
,,,Eritrea,Eritrea,3546427
,,,Estonia,Estonia,1326539
,,,Eswatini,Eswatini,1160164
,,,Ethiopia,Ethiopia,114963583
,,,Fiji,Fiji,896444
,,,Finland,Finland,5540718
,,French Guiana,France,"French Guiana, France",298682
,,French Polynesia,France,"French Polynesia, France",280904
,,Guadeloupe,France,"Guadeloupe, France",400127
,,Martinique,France,"Martinique, France",375265
,,Mayotte,France,"Mayotte, France",272813
,,New Caledonia,France,"New Caledonia, France",285491
,,Reunion,France,"Reunion, France",895308
,,Saint Barthelemy,France,"Saint Barthelemy, France",9885
,,Saint Pierre and Miquelon,France,"Saint Pierre and Miquelon, France",5795
,,St Martin,France,"St Martin, France",38659
,,,France,France,65974016
,,,Gabon,Gabon,2225728
,,,Gambia,Gambia,2416664
,,,Georgia,Georgia,3989175
,,Baden-Wurttemberg,Germany,"Baden-Wurttemberg, Germany",11069533
,,Bayern,Germany,"Bayern, Germany",13076721
,,Berlin,Germany,"Berlin, Germany",3644826
,,Brandenburg,Germany,"Brandenburg, Germany",2511917
,,Bremen,Germany,"Bremen, Germany",682986
,,Hamburg,Germany,"Hamburg, Germany",1841179
,,Hessen,Germany,"Hessen, Germany",6265809
,,Mecklenburg-Vorpommern,Germany,"Mecklenburg-Vorpommern, Germany",1609675
,,Niedersachsen,Germany,"Niedersachsen, Germany",7982448
,,Nordrhein-Westfalen,Germany,"Nordrhein-Westfalen, Germany",17932651
,,Rheinland-Pfalz,Germany,"Rheinland-Pfalz, Germany",4084844
,,Saarland,Germany,"Saarland, Germany",990509
,,Sachsen,Germany,"Sachsen, Germany",4077937
,,Sachsen-Anhalt,Germany,"Sachsen-Anhalt, Germany",2208321
,,Schleswig-Holstein,Germany,"Schleswig-Holstein, Germany",2896712
,,Thuringen,Germany,"Thuringen, Germany",2143145
,,Unknown,Germany,"Unknown, Germany",0
,,,Ghana,Ghana,31072945
,,,Greece,Greece,10423056
,,,Grenada,Grenada,112519
,,,Guatemala,Guatemala,17915567
,,,Guinea,Guinea,13132792
,,,Guinea-Bissau,Guinea-Bissau,1967998
,,,Guyana,Guyana,786559
,,,Haiti,Haiti,8822442
,,,Holy See,Holy See,809
,,,Honduras,Honduras,9904608
,,,Hungary,Hungary,9660350
,,,Iceland,Iceland,341250
,,,India,India,1380004385
,,,Indonesia,Indonesia,273523621
,,,Iran,Iran,83992953
,,,Iraq,Iraq,40222503
,,,Ireland,Ireland,4937796
,,,Israel,Israel,8645365
,,Abruzzo,Italy,"Abruzzo, Italy",1311580
,,Basilicata,Italy,"Basilicata, Italy",562869
,,Calabria,Italy,"Calabria, Italy",1947131
,,Campania,Italy,"Campania, Italy",5801692
,,Emilia-Romagna,Italy,"Emilia-Romagna, Italy",4459477
,,Friuli Venezia Giulia,Italy,"Friuli Venezia Giulia, Italy",1215220
,,Lazio,Italy,"Lazio, Italy",5879082
,,Liguria,Italy,"Liguria, Italy",1550640
,,Lombardia,Italy,"Lombardia, Italy",10060574
,,Marche,Italy,"Marche, Italy",1525271
,,Molise,Italy,"Molise, Italy",305617
,,P.A. Bolzano,Italy,"P.A. Bolzano, Italy",532318
,,P.A. Trento,Italy,"P.A. Trento, Italy",541418
,,Piemonte,Italy,"Piemonte, Italy",4356406
,,Puglia,Italy,"Puglia, Italy",4029053
,,Sardegna,Italy,"Sardegna, Italy",1639591
,,Sicilia,Italy,"Sicilia, Italy",4999891
,,Toscana,Italy,"Toscana, Italy",3729641
,,Umbria,Italy,"Umbria, Italy",882015
,,Valle d'Aosta,Italy,"Valle d'Aosta, Italy",125666
,,Veneto,Italy,"Veneto, Italy",4905854
,,,Jamaica,Jamaica,2961161
,,Aichi,Japan,"Aichi, Japan",7552239
,,Akita,Japan,"Akita, Japan",966490
,,Aomori,Japan,"Aomori, Japan",1246371
,,Chiba,Japan,"Chiba, Japan",6259382
,,Ehime,Japan,"Ehime, Japan",1339215
,,Fukui,Japan,"Fukui, Japan",767937
,,Fukuoka,Japan,"Fukuoka, Japan",5103679
,,Fukushima,Japan,"Fukushima, Japan",1845519
,,Gifu,Japan,"Gifu, Japan",1986587
,,Gunma,Japan,"Gunma, Japan",1942456
,,Hiroshima,Japan,"Hiroshima, Japan",2804177
,,Hokkaido,Japan,"Hokkaido, Japan",5250049
,,Hyogo,Japan,"Hyogo, Japan",5466190
,,Ibaraki,Japan,"Ibaraki, Japan",2860307
,,Ishikawa,Japan,"Ishikawa, Japan",1137649
,,Kagawa,Japan,"Kagawa, Japan",956347
,,Kagoshima,Japan,"Kagoshima, Japan",1602273
,,Kanagawa,Japan,"Kanagawa, Japan",9198268
,,Kochi,Japan,"Kochi, Japan",698029
,,Kumamoto,Japan,"Kumamoto, Japan",1747567
,,Kyoto,Japan,"Kyoto, Japan",2582957
,,Mie,Japan,"Mie, Japan",1780882
,,Miyagi,Japan,"Miyagi, Japan",2306365
,,Miyazaki,Japan,"Miyazaki, Japan",1073301
,,Nagano,Japan,"Nagano, Japan",2048790
,,Nagasaki,Japan,"Nagasaki, Japan",1326524
,,Nara,Japan,"Nara, Japan",1330123
,,Niigata,Japan,"Niigata, Japan",2223106
,,Oita,Japan,"Oita, Japan",1135434
,,Okayama,Japan,"Okayama, Japan",1889586
,,Okinawa,Japan,"Okinawa, Japan",1453168
,,Osaka,Japan,"Osaka, Japan",8809363
,,Port Quarantine,Japan,"Port Quarantine, Japan",0
,,Saga,Japan,"Saga, Japan",814711
,,Saitama,Japan,"Saitama, Japan",7349693
,,Shiga,Japan,"Shiga, Japan",1413943
,,Shimane,Japan,"Shimane, Japan",674346
,,Shizuoka,Japan,"Shizuoka, Japan",3643528
,,Tochigi,Japan,"Tochigi, Japan",1933990
,,Tokushima,Japan,"Tokushima, Japan",727977
,,Tokyo,Japan,"Tokyo, Japan",13920663
,,Tottori,Japan,"Tottori, Japan",555558
,,Toyama,Japan,"Toyama, Japan",1043502
,,Unknown,Japan,"Unknown, Japan",0
,,Wakayama,Japan,"Wakayama, Japan",924933
,,Yamagata,Japan,"Yamagata, Japan",1077666
,,Yamaguchi,Japan,"Yamaguchi, Japan",1358336
,,Yamanashi,Japan,"Yamanashi, Japan",810956
,,,Jordan,Jordan,10203140
,,,Kazakhstan,Kazakhstan,18776707
,,,Kenya,Kenya,53771300
,,,"Korea, South","Korea, South",51269183
,,,Kosovo,Kosovo,1810366
,,,Kuwait,Kuwait,4270563
,,,Kyrgyzstan,Kyrgyzstan,6524191
,,,Laos,Laos,7275556
,,,Latvia,Latvia,1886202
,,,Lebanon,Lebanon,6825442
,,,Lesotho,Lesotho,2142252
,,,Liberia,Liberia,5057677
,,,Libya,Libya,6871287
,,,Liechtenstein,Liechtenstein,38137
,,,Lithuania,Lithuania,2709250
,,,Luxembourg,Luxembourg,625976
,,,Madagascar,Madagascar,27691019
,,,Malawi,Malawi,19129955
,,,Malaysia,Malaysia,32365998
,,,Maldives,Maldives,540542
,,,Mali,Mali,20250834
,,,Malta,Malta,441539
,,,Mauritania,Mauritania,4649660
,,,Mauritius,Mauritius,1271767
,,Aguascalientes,Mexico,"Aguascalientes, Mexico",1434635
,,Baja California,Mexico,"Baja California, Mexico",3634868
,,Baja California Sur,Mexico,"Baja California Sur, Mexico",804708
