country,year,record,crop_land,grazing_land,fishing_ground,built_up_land,forest_land
Afghanistan,1961,Biocapacity per capita,0.54,0.67,0,0.02,0.07
Afghanistan,1962,Biocapacity per capita,0.51,0.66,0,0.02,0.07
Afghanistan,1963,Biocapacity per capita,0.47,0.64,0,0.02,0.06
Afghanistan,1964,Biocapacity per capita,0.49,0.63,0,0.02,0.06
Afghanistan,1965,Biocapacity per capita,0.5,0.61,0,0.02,0.06
Afghanistan,1966,Biocapacity per capita,0.45,0.6,0,0.02,0.06
Afghanistan,1967,Biocapacity per capita,0.48,0.59,0,0.02,0.06
Afghanistan,1968,Biocapacity per capita,0.47,0.57,0,0.02,0.06
Afghanistan,1969,Biocapacity per capita,0.49,0.55,0,0.03,0.05
Afghanistan,1970,Biocapacity per capita,0.42,0.54,0,0.02,0.05
Afghanistan,1971,Biocapacity per capita,0.37,0.53,0,0.02,0.05
Afghanistan,1972,Biocapacity per capita,0.43,0.51,0,0.02,0.05
Afghanistan,1973,Biocapacity per capita,0.45,0.5,0,0.03,0.05
Afghanistan,1974,Biocapacity per capita,0.45,0.49,0,0.03,0.05
Afghanistan,1975,Biocapacity per capita,0.47,0.48,0,0.03,0.04
Afghanistan,1976,Biocapacity per capita,0.46,0.47,0,0.03,0.04
Afghanistan,1977,Biocapacity per capita,0.41,0.46,0,0.03,0.04
Afghanistan,1978,Biocapacity per capita,0.41,0.46,0,0.03,0.04
Afghanistan,1979,Biocapacity per capita,0.41,0.46,0,0.03,0.04
Afghanistan,1980,Biocapacity per capita,0.39,0.46,0,0.02,0.04
Afghanistan,1981,Biocapacity per capita,0.38,0.47,0,0.02,0.04
Afghanistan,1982,Biocapacity per capita,0.37,0.48,0,0.02,0.04
Afghanistan,1983,Biocapacity per capita,0.37,0.49,0,0.02,0.05
Afghanistan,1984,Biocapacity per capita,0.37,0.5,0,0.02,0.05
Afghanistan,1985,Biocapacity per capita,0.37,0.51,0,0.02,0.05
Afghanistan,1986,Biocapacity per capita,0.35,0.52,0,0.02,0.05
Afghanistan,1987,Biocapacity per capita,0.39,0.52,0,0.02,0.05
Afghanistan,1988,Biocapacity per capita,0.34,0.52,0,0.02,0.05
Afghanistan,1989,Biocapacity per capita,0.32,0.51,0,0.02,0.05
Afghanistan,1990,Biocapacity per capita,0.29,0.49,0,0.02,0.05
Afghanistan,1991,Biocapacity per capita,0.29,0.46,0,0.02,0.04
Afghanistan,1992,Biocapacity per capita,0.25,0.43,0,0.02,0.04
